houseID,ctg,name,prefacture,url,box
1,b,東高円寺二万電圧,東京,http://den-atsu.com/?schedule=%4d-%d-schedule,■\d+?/:class="hpb_social"
2,a,下北沢BASEMENT BAR,東京,http://www.toos.co.jp/basementbar/schedule/bb%4d_%s.html,"tr[valign=""middle""]"
3,a,下北沢THREE,東京,http://www.toos.co.jp/3/3_schedule_%2d%s.html,table table table table tr
4,d,柏DoMe,千葉,http://www.kcdo.me/schedule/,
5,a,下北沢daisy bar,東京,http://www.daisybar.jp/schedule/%2d%s.html,tr
6,a,下北沢SHELTER,東京,http://www.loft-prj.co.jp/schedule/shelter/date/%4d/%s,.timetable > tr
7,a,下北沢QUE,東京,http://www.ukproject.com/que/schedule/thismonth.html,table tr
8,a,下北沢251,東京,http://www.club251.com/sche/%2d%s.html,.day
9,a,下北沢ERA,東京,http://s-era.jp/%4d/%d/?cat=20,.schedule-day
10,a,下北沢GARDEN,東京,http://gar-den.in/?m=%4d%s,article
11,a,下北沢MOSAiC,東京,http://www.studio-museum.com/mosaic/schedule/%4d%s.html,"td[align=""center""] > table"
12,a,下北沢GARAGE,東京,http://www.garage.or.jp/date/%4d/%s,article
13,a,下北沢ReG,東京,http://www.reg-r2.com/?page_id=7250&ym=%4d-%s,#live_date > tr
14,a,新代田FEVER,東京,http://www.fever-popo.com/schedule/%4d/%s/,.hentry
15,a,高円寺HIGH,東京,http://koenji-high.com/schedule/?sy=%4d&sm=%d,.eventlist
16,a,高円寺CLUB MISSIONS,東京,http://www.live-missions.com/schedule.html?ym=%4d-%s,.liveContents
17,a,東高円寺UFO CLUB,東京,http://www.ufoclub.jp/schedule/,tr
18,a,高円寺CLUB ROOTS,東京,http://www.muribushi.jp/schedule/%4d_%s.html,.schedule-list > li
19,a,渋谷TSUTAYA O-EAST,東京,http://shibuya-o.com/east/schedule/,.schedule_row
20,a,渋谷TSUTAYA O-WEST,東京,http://shibuya-o.com/west/schedule/,.schedule_row
21,a,渋谷TSUTAYA O-Crest,東京,http://shibuya-o.com/crest/schedule/,.schedule_row
22,a,渋谷TSUTAYA O-nest,東京,http://shibuya-o.com/nest/schedule/,.schedule_row
