,band,count,flag
0,DJ,1208.0,-1.0
1,他,701.0,-1.0
2,VAMPS,626.0,1.0
3,00,469.0,-1.0
4,VAMPARK,375.0,-1.0
5,30,373.0,-1.0
6,やさしいきもちウェディングパーティーは,342.0,-1.0
7,Lコード,315.0,-1.0
8,青山月見ル君想フと代官山晴れたら空に豆まいてをベースに,254.0,-1.0
9,18,240.0,-1.0
10,...etc,231.0,-1.0
11,あなたのパーティーを個性的に演出します。お気軽にご相談ください。,231.0,-1.0
12,http,223.0,-1.0
13,OA,207.0,-1.0
14,■,202.0,-1.0
15,ゲスト,199.0,-1.0
16,ONE OK ROCK,188.0,0.0
17,FOOD,185.0,-1.0
18,WORLD ORDER,184.0,1.0
19,Tonight Alive,183.0,1.0
20,Yellowcard,183.0,1.0
21,adv.\1500,172.0,-1.0
22,OPEN,164.0,-1.0
23,やきとり遊助,154.0,0.0
24,クリープハイプ,151.0,1.0
25,Pコード,146.0,-1.0
26,adv,143.0,-1.0
27,ハルカミライ,133.0,1.0
28,LIVE,131.0,-1.0
29,Block B,127.0,1.0
30,START,125.0,-1.0
31,リリリ,124.0,0.0
32,ISHIKAWA,123.0,0.0
33,ToppDogg,122.0,1.0
34,Ghost Town,122.0,0.0
35,39degrees,121.0,0.0
36,The Slot Holders,109.0,0.0
37,***,109.0,-1.0
38,OPEN 18,108.0,-1.0
39,BELLRING少女ハート,106.0,0.0
40,GUEST,105.0,-1.0
41,THE WELL WELLS,102.0,1.0
42,19,100.0,-1.0
43,17,97.0,-1.0
44,逃亡くそタわけ,96.0,1.0
45,ミナミトモユキ,96.0,1.0
46,PRIVATE RENTAL,94.0,-1.0
47,undersign,92.0,1.0
48,藤村JAPAN,88.0,0.0
49,金子TKO,87.0,1.0
50,MC,86.0,-1.0
51,LIFE GUARD,82.0,1.0
52,ニュータウン,82.0,0.0
53,忘れてモーテルズ,82.0,1.0
54,AWDR,81.0,1.0
55,DRUNKER'S KITCHEN,81.0,0.0
56,O.A,81.0,-1.0
57,ヘンリーヘンリーズ,81.0,1.0
58,企画持ち込み,80.0,-1.0
59,Response,80.0,0.0
60,内容,80.0,-1.0
61,録音料金,80.0,-1.0
62,ホールレンタル料金,80.0,-1.0
63,通常ブッキング料金詳細,80.0,-1.0
64,聞く？」をベースに,80.0,-1.0
65,録画,80.0,-1.0
66,鈴木徹,79.0,0.0
67,日本,79.0,-1.0
68,踊るツチノコ,78.0,1.0
69,ハシグチカナデリヤ,76.0,1.0
70,VJ,76.0,-1.0
71,AntiQues,76.0,1.0
72,LIE-DOWN,76.0,1.0
73,THE VISION,75.0,0.0
74,CATCH OUT BEAT,73.0,0.0
75,door,73.0,-1.0
76,とりあえずバンドウ,73.0,0.0
77,nano.RIPE,72.0,1.0
78,多火油機団,70.0,1.0
79,ベルノバジャムズ,70.0,1.0
80,THE Roll & McCARTNEY,69.0,1.0
81,MiVK,69.0,1.0
82,サカモトタカシ,69.0,1.0
83,おやすみホログラム,69.0,1.0
84,UVERworld,69.0,1.0
85,撃鉄,69.0,1.0
86,wash?,68.0,0.0
87,イェン・ツー・パオ,68.0,1.0
88,鈴木央,68.0,0.0
89,天狗☆スター,68.0,0.0
90,SUMMER SOLSTICE,68.0,1.0
91,10-FEET,68.0,1.0
92,salsa,68.0,1.0
93,ROTTENGRAFFTY,68.0,1.0
94,SPECIAL OTHERS,67.0,1.0
95,Crossfaith,67.0,1.0
96,虎んすペアレンシー,67.0,1.0
97,シクラメン,66.0,1.0
